date;price
2018-08-06 21:00:00;6958.32
2018-08-13 21:00:00;6287.66
2018-08-20 21:00:00;6301.07
2018-08-27 21:00:00;6891.08
2018-09-03 21:00:00;7263
2018-09-10 21:00:00;6331.88
2018-09-17 21:00:00;6280.91
2018-09-24 21:00:00;6603.64
2018-10-01 21:00:00;6593.24
2018-10-08 21:00:00;6653.08
2018-10-15 21:00:00;6601.41
2018-10-22 21:00:00;6472.36
2018-10-29 21:00:00;6337.04
2018-11-05 22:00:00;6433.38
2018-11-12 22:00:00;6373.19
2018-11-19 22:00:00;4863.93
2018-11-26 22:00:00;3765.95
2018-12-03 22:00:00;3886.2948763
2018-12-10 22:00:00;3497.5547337
2018-12-17 22:00:00;3544.76156472
2018-12-24 22:00:00;4081.03047102
2018-12-31 22:00:00;3746.71338747
2019-01-07 22:00:00;4028.47207166
2019-01-14 22:00:00;3704.21630768
2019-01-21 22:00:00;3575.08123989
2019-01-28 22:00:00;3468.87015541
2019-02-04 22:00:00;3454.9508136
2019-02-11 22:00:00;3642.75185939
2019-02-18 21:00:00;3911.66152075
2019-02-25 21:00:00;3878.6973183
2019-03-04 21:00:00;3759.83244114
2019-03-11 21:00:00;3903.75829416
2019-03-18 21:00:00;4032.69200717
2019-03-25 21:00:00;3969.22885592
2019-04-01 21:00:00;4156.91964324
2019-04-08 21:00:00;5289.91798137
2019-04-15 21:00:00;5066.57760057
2019-04-22 21:00:00;5399.36570489
2019-04-29 21:00:00;5247.72588172
2019-05-06 21:00:00;5745.59904909
2019-05-13 21:00:00;7807.88444936
2019-05-20 21:00:00;7977.96936984
2019-05-27 21:00:00;8802.75819975
2019-06-03 21:00:00;8210.98582388
2019-06-10 21:00:00;8004.24354228
2019-06-17 21:00:00;9335.46690152
2019-06-24 21:00:00;11007.2020736
2019-07-01 21:00:00;10588.6836947
2019-07-08 21:00:00;12284.3264649
2019-07-15 21:00:00;10896.6533265
2019-07-22 21:00:00;10346.7477047
2019-07-29 21:00:00;9522.32895542
2019-08-05 21:00:00;11811.5450274
2019-08-12 21:00:00;11385.0524972
2019-08-19 21:00:00;10916.3467171
2019-08-26 21:00:00;10372.8263035
2019-09-02 21:00:00;10345.7251399
2019-09-09 21:00:00;10336.4084054
2019-09-16 21:00:00;10281.5133161
2019-09-23 21:00:00;9729.32139737
2019-09-30 21:00:00;8299.72110496
2019-10-07 21:00:00;8246.84962925
2019-10-14 21:00:00;8373.45825537
2019-10-21 21:00:00;8243.40209165
2019-10-28 21:00:00;9248.4405622
2019-11-04 21:00:00;9413.00494286
2019-11-11 21:00:00;8759.75190096
2019-11-18 21:00:00;8305.13429095
2019-11-25 21:00:00;7145.1590862
2019-12-02 21:00:00;7323.97540332
2019-12-09 21:00:00;7397.13422776
2019-12-16 21:00:00;6931.31521843
2019-12-23 21:00:00;7354.39283808
2019-12-30 21:00:00;7294.4388956
2020-01-06 21:00:00;7768.68189098
2020-01-13 21:00:00;8140.93309605
2020-01-20 21:00:00;8658.99118302
2020-01-27 21:00:00;8912.52433979
2020-02-03 21:00:00;9292.84190002
2020-02-10 21:00:00;9855.89170857
2020-02-17 21:00:00;9691.23094489
2020-02-24 21:00:00;9651.31279866
2020-03-02 21:00:00;8865.38796487
2020-03-09 21:00:00;7922.1470416
2020-03-16 21:00:00;5002.5781383
